years,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10
2020,"['Mandarin Chinese', 'English', 'Spanish', 'Arabic', 'Hindi', 'Indonesian', 'Portuguese', 'Russian', 'Bengali', 'French']"
2021,"['Mandarin Chinese', 'English', 'Spanish', 'Hindi', 'Arabic', 'Indonesian', 'Russian', 'Portuguese', 'Bengali', 'French']"
2022,"['Mandarin Chinese', 'English', 'Hindi', 'Spanish', 'Arabic', 'Indonesian', 'Russian', 'Bengali', 'French', 'Portuguese']"
2023,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Arabic', 'French', 'Indonesian', 'Russian', 'Bengali', 'Portuguese']"
2024,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Arabic', 'Bengali', 'Russian', 'Portuguese', 'Indonesian']"
2025,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Arabic', 'Bengali', 'Russian', 'Portuguese', 'Indonesian']"
2026,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Bengali', 'Portuguese', 'Russian', 'Arabic', 'Indonesian']"
2027,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Bengali', 'Portuguese', 'Russian', 'Arabic', 'Indonesian']"
2028,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Arabic', 'Indonesian']"
2029,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Arabic']"
2030,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Japanese']"
2031,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Japanese']"
2032,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Yue Chinese']"
2033,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Yue Chinese']"
2034,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Russian', 'Marathi', 'Yue Chinese']"
2035,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Marathi', 'Russian', 'Yue Chinese']"
2036,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Bengali', 'Marathi', 'Russian', 'Yue Chinese']"
2037,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Marathi', 'Bengali', 'Russian', 'Yue Chinese']"
2038,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Marathi', 'Bengali', 'Russian', 'Yue Chinese']"
2039,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Marathi', 'Bengali', 'Russian', 'Yue Chinese']"
2040,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Marathi', 'Bengali', 'Russian', 'Yue Chinese']"
2041,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Marathi', 'Portuguese', 'Bengali', 'Yue Chinese', 'Russian']"
2042,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Marathi', 'Portuguese', 'Bengali', 'Yue Chinese', 'Russian']"
2043,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Marathi', 'French', 'Portuguese', 'Bengali', 'Yue Chinese', 'Russian']"
2044,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Marathi', 'French', 'Portuguese', 'Bengali', 'Yue Chinese', 'Turkish']"
2045,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Marathi', 'French', 'Portuguese', 'Bengali', 'Yue Chinese', 'Turkish']"
2046,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Marathi', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2047,"['English', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Marathi', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2048,"['English', 'Mandarin Chinese', 'Hindi', 'Marathi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2049,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2050,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2051,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Bengali', 'Turkish']"
2052,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Bengali']"
2053,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Bengali']"
2054,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2055,"['English', 'Mandarin Chinese', 'Marathi', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2056,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2057,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2058,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2059,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2060,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2061,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2062,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2063,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'French', 'Portuguese', 'Yue Chinese', 'Turkish', 'Vietnamese']"
2064,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Yue Chinese', 'Portuguese', 'French', 'Turkish', 'Vietnamese']"
2065,"['English', 'Marathi', 'Mandarin Chinese', 'Hindi', 'Spanish', 'Yue Chinese', 'Portuguese', 'French', 'Turkish', 'Vietnamese']"
2066,"['English', 'Marathi', 'Mandarin Chinese', 'Yue Chinese', 'Hindi', 'Spanish', 'Portuguese', 'French', 'Turkish', 'Vietnamese']"
2067,"['English', 'Marathi', 'Mandarin Chinese', 'Yue Chinese', 'Hindi', 'Spanish', 'Portuguese', 'French', 'Turkish', 'Vietnamese']"
2068,"['English', 'Marathi', 'Mandarin Chinese', 'Yue Chinese', 'Hindi', 'Spanish', 'Portuguese', 'French', 'Turkish', 'Vietnamese']"
2069,"['English', 'Marathi', 'Mandarin Chinese', 'Yue Chinese', 'Portuguese', 'Spanish', 'Hindi', 'French', 'Turkish', 'Vietnamese']"
2070,"['English', 'Marathi', 'Mandarin Chinese', 'Yue Chinese', 'Portuguese', 'French', 'Spanish', 'Hindi', 'Turkish', 'Vietnamese']"
